Month;Argentina;Brazil;Colombia;France;Germany;India;Indonesia;Iran;Italy;Mexico;Peru;Philippines;Poland;Russia;South Africa;Spain;Turkey;Ukraine;United Kingdom;United States of America
01/01/2004;0;0;0;0;35;44;0;0;0;100;0;0;0;100;0;53;73;0;69;75
01/02/2004;100;0;0;43;38;59;41;0;0;0;100;31;0;0;82;0;72;0;50;56
01/03/2004;0;90;0;0;48;74;0;0;0;0;0;0;0;0;100;0;0;0;81;50
01/04/2004;0;0;0;0;39;72;39;0;56;94;0;0;0;85;0;0;57;0;38;74
01/05/2004;0;0;0;0;34;24;100;0;0;0;0;66;100;0;0;87;0;0;37;46
01/06/2004;0;0;0;63;67;33;0;0;49;0;0;0;0;0;69;0;100;0;73;71
01/07/2004;0;0;0;0;69;32;0;0;0;0;0;0;0;0;0;0;0;0;81;61
01/08/2004;0;0;0;0;100;70;0;0;59;0;0;0;100;0;58;55;42;0;56;79
01/09/2004;0;0;0;29;0;60;30;0;0;0;0;44;0;0;58;0;0;0;66;77
01/10/2004;0;0;0;0;32;11;0;0;0;0;0;25;0;0;0;41;0;0;46;45
01/11/2004;0;100;0;0;94;12;40;66;43;0;0;0;0;66;0;0;38;0;45;72
01/12/2004;0;0;0;100;29;38;0;0;40;0;0;56;0;0;0;39;0;0;63;41
01/01/2005;0;0;0;0;24;73;0;0;0;54;0;41;0;0;0;33;27;0;71;60
01/02/2005;0;0;0;23;80;38;30;0;0;0;0;43;53;58;49;34;26;0;50;71
01/03/2005;0;36;0;0;24;72;0;0;31;48;38;0;46;46;0;30;39;0;38;63
01/04/2005;0;0;0;0;26;19;0;100;34;0;0;0;51;0;0;0;0;0;42;53
01/05/2005;38;0;0;0;24;80;66;0;0;0;0;47;0;0;0;57;0;0;34;50
01/06/2005;0;0;100;54;45;74;22;0;0;0;0;19;44;0;0;29;19;0;31;63
01/07/2005;0;0;0;20;45;77;0;0;0;0;0;0;0;0;0;0;0;0;59;66
01/08/2005;0;0;0;0;66;77;0;36;0;40;0;0;0;0;0;69;0;0;35;61
01/09/2005;0;27;0;0;42;100;0;0;26;0;0;0;0;43;0;26;15;0;49;59
01/10/2005;0;0;0;0;60;46;0;34;50;0;0;0;36;0;30;72;25;0;70;90
01/11/2005;0;0;78;15;19;62;22;33;0;0;0;0;68;0;33;0;0;0;36;46
01/12/2005;0;0;0;14;0;79;0;29;0;39;0;0;64;33;0;24;10;0;32;41
01/01/2006;33;0;0;24;47;45;0;0;0;0;0;40;0;0;59;0;0;0;47;67
01/02/2006;0;0;0;13;33;46;18;0;0;0;0;0;0;33;0;21;9;0;48;44
01/03/2006;0;0;0;11;71;74;15;0;0;0;0;0;49;0;0;18;0;0;47;69
01/04/2006;0;0;0;0;32;51;0;0;41;0;0;0;0;0;0;20;8;0;51;63
01/05/2006;0;0;0;11;15;55;0;0;18;0;0;30;0;0;22;17;0;0;37;55
01/06/2006;0;0;0;21;15;54;0;0;37;0;21;0;27;0;0;18;14;0;38;57
01/07/2006;0;0;0;12;88;56;0;27;20;28;0;11;29;0;22;0;14;0;33;42
01/08/2006;0;32;0;22;53;54;0;51;0;0;0;0;0;0;19;0;13;0;30;49
01/09/2006;20;16;0;19;54;36;0;0;100;0;0;22;46;0;21;17;6;0;39;52
01/10/2006;0;0;0;17;49;46;27;23;15;0;0;0;41;0;0;15;0;0;56;59
01/11/2006;0;0;0;25;46;53;21;20;45;20;0;10;19;0;19;14;10;0;48;53
01/12/2006;20;15;0;8;12;66;0;0;16;0;19;23;19;0;0;0;14;0;39;55
